case_name,AR,Lambda_c_4,c_r_extension_factor,D_f,twist_r,delta_twist_k,delta_twist_t,alpha,beta,drag,lift,side_force,pressure_drag,viscous_drag,pressure_lift,pressure_side_force,Cd,Cl,pitching_moment,Cm,Cf,L_D_ratio,Cl2_over_pi_AR,mahal_dist
geo-018d711f-b1a5-4e27-9dd6-76f5eb45d7d1,7.909,29.8271,1.3644,240.1394,8.988,-4.4997,-1.7286,3.0027,0,495676.53279518906,3660043.064020662,10.858554712699076,461739.57546078577,33936.95733440382,3680031.7401605207,12.541872094799372,0.1000216581510353,0.7385533749260764,-11270626.96,-0.249281227,0.006849459,7.383934525568869,0.021952921572426485,3.2963123026609558
geo-01ca014c-e45f-42b6-9880-9b7fa033ce28,10.289,33.31,1.3673,248.1447,3.9498,-3.5048,-2.1774,2.8035,0,159164.78064958565,2914860.268092283,51.53585239074947,119543.43635855587,39621.34429103047,2917690.1634104094,54.51695255,0.032099793,0.5878587563597174,-11387820.12,-0.291341566,0.007990651,18.313475231116612,0.010691113574146243,2.0207881918631827
geo-022e807d-b372-4566-9332-a232dcbe4822,9.5752,32.1939,1.1076,240.8086,7.7123,-4.0419,-2.8936,0.6148,0,197512.5422580157,2967290.9110473148,-187.8109074,159494.51169277544,38018.03056523993,2969103.462050393,-186.8725172,0.042744753,0.6421674078287487,-9064074.389,-0.272223488,0.008227643,15.023303720991391,0.013708779564471864,1.367607630058154
geo-0267bb53-7a84-476d-b7a5-299544b14633,8.3975,35.5372,1.0985,251.8182,8.4959,-6.9032,-4.9738,3.8278,0,244682.7316819043,3089204.1090772627,-100.9486314,207588.15312226696,37094.57855963752,3096540.4924613787,-102.6471033,0.053089059,0.6702677352720143,-7274460.744,-0.206022751,0.008048406,12.625345842114147,0.017029297916708343,1.2878040685970762
geo-0267c998-0c73-4774-80b0-70c6782f5c38,8.5475,35.9888,1.0595,256.448,8.63,-3.6361,-3.8662,2.1848,0,365607.8674638092,3382545.723439597,1253.5490144670634,328890.35729313246,36717.51017067609,3393196.426030984,1254.1514471296182,0.080208857,0.7420795609686138,-6492623.261,-0.191111767,0.008055226,9.251840631614499,0.020507464001800275,2.2657311496095516
geo-0296f6df-906c-4840-b875-e36b6e98acac,7.8824,30.6342,1.1996,241.6575,8.9314,-3.4871,-1.5492,0.2431,0,322850.21936153364,3270059.327540158,107.83658073674356,286313.0458711705,36537.17349036172,3271761.954920084,113.0600401771803,0.068106502,0.6898316630648533,-10802904.13,-0.274478647,0.007707617,10.128719546813423,0.019216660010077196,1.8664372668450162
geo-02ce6274-c009-4f01-8298-37cfe8ba5a43,9.5037,34.7204,1.3938,255.5002,8.632,-4.1854,-5.9134,0.7356,0,218206.37386578653,3171715.0850594915,-1555.564336,178959.86580700544,39246.50805878166,3174250.1086479067,-1558.200543,0.043694326,0.6351141330102185,-12887542.84,-0.305688602,0.00786043,14.535391560149044,0.013510175,2.0861681480752376
geo-02de5792-d2d7-46ce-b724-e2ed9eadb12b,9.9637,29.3437,1.1654,253.4447,3.5889,-6.9959,-3.6271,0.1795,0,130052.02097124048,-909494.1558,-655.810023,91316.40463655572,38735.61633468472,-909360.3635,-658.0707219,0.027689054,-0.193638147,2460112.4235424027,0.070966119,0.008248769,-6.993310439,0.001197875,4.721861005702142
geo-0326401f-781d-4aa8-b5d6-94d1ee34f962,9.6868,30.2598,1.2997,255.9146,4.995,-6.9431,-6.1002,1.3282,0,68691.30061746623,505957.1805,-5.190026314,27775.847199383526,40915.453418083096,506589.1707900487,-5.817556811,0.01410052,0.1038597182529804,-764113.4782,-0.019633326,0.008400564,7.365666044224247,0.000354457,1.8900598933910973
geo-0329fd02-6197-4d38-aa67-bd6cc5828c39,10.3855,30.3886,1.2726,253.9835,8.6708,-5.9616,-7.265,2.8746,0,281544.8015699929,3079877.324862246,-10.09470297,243755.66171380988,37789.13985618238,3088440.2588914004,-14.91944334,0.058214941,0.636825383,-8447280.725,-0.229373632,0.007815228,10.939208636379615,0.012429780197351293,1.0448905837773843
geo-033625b5-68d4-4e08-a2ec-88a29b4bf5ee,7.7442,35.9572,1.3811,247.2631,7.2324,-6.1842,-7.1873,1.2313,0,89721.40807260793,1826564.189277658,-50.59051513,49414.598298181154,40306.80977,1827884.2476989245,-51.4436496,0.018025715,0.3669706764968325,-7000800.816,-0.151323324,0.008099581,20.358175696479176,0.005535238,0.8264040899899872
geo-035a128c-26eb-4e54-8d9c-a6a729022c48,8.3471,36.0145,1.1854,248.8544,8.5146,-3.8034,-2.5988,1.7202,0,341302.1332321826,3397945.2346464666,-757.1066839,304780.2057825618,36521.92744962103,3406191.23,-758.6110732,0.072265577,0.7194636382451054,-10303283.06,-0.267934629,0.007734529,9.955827707455015,0.019739321,1.8081872538456576
geo-035bf9a6-5197-4324-9777-9dea9c3cfc35,10.3394,30.6711,1.0666,255.3357,6.8518,-5.1472,-3.8009,1.6135,0,153169.9041395223,2640645.8557972237,1736.4538688601783,113801.86888842484,39368.03525109663,2642939.149248244,1739.961246,0.033535246,0.5781469188994889,-6589823.884,-0.212187147,0.008619251,17.239978510346678,0.010290375464720013,1.0424357435412486
geo-035f6e66-a207-4fdb-8aa0-0191216e89cf,9.6119,35.0188,1.1723,249.698,7.3963,-4.1058,-2.6526,3.5272,0,381337.2229635603,3332372.3313713125,-177.0426734,345630.3796066118,35706.84335694933,3347710.2681669514,-164.8444007,0.081051524,0.7082808579605899,-7865497.843,-0.225306495,0.00758929,8.738649496,0.016613146,2.0675340306630945
geo-039019e7-66ee-4ddc-b632-ec98026aaa3e,8.7174,35.7125,1.1307,252.3508,4.466,-6.686,-6.8804,3.2095,0,73119.70377,1285635.0520876814,20.92074633344116,32609.233187558573,40510.47058201717,1285893.220786156,22.225719999552556,0.015722027,0.2764342317539693,-1544759.641,-0.043495231,0.00871042,17.582607502611847,0.002790274,1.9644150176969561
geo-03fb3992-e639-4618-8067-fe6eb4ea1095,8.683,31.4153,1.1091,249.3532,6.7597,-4.2379,-5.4738,2.0469,0,189460.6703138594,2831331.093271966,2725.670131175595,151271.04864843978,38189.62166541917,2835199.6877003456,2727.386701227289,0.040984904,0.6124850724609742,-7371703.993,-0.210588505,0.008261291,14.944162757270966,0.013752173513772658,0.9945016147006304
geo-04422090-1191-4dde-b85a-1c6b92377fc7,9.2503,28.4233,1.1809,248.3454,6.8008,-6.5487,-5.7131,0.1551,0,69100.33813,1052582.4565724027,-23.62879708,28806.79582407203,40293.54230956952,1052906.6281150558,-27.06032347,0.014652142,0.2231912100519508,-3423467.923,-0.095576041,0.00854386,15.232667234372604,0.001714149,1.1776532063209755
geo-045344e8-3573-4f0c-b5e0-cd68ebac72b5,7.5269,36.5988,1.1052,254.9802,6.3874,-4.797,-1.7235,3.7284,0,280466.92896162503,3292494.501316127,379.9951982987227,243274.85522995907,37192.07373166654,3302126.363091112,380.2410665274458,0.060725799,0.7128803383543076,-8654449.462,-0.227161552,0.008054334,11.739332382273952,0.021491526057455704,1.3306751510726915
geo-04806634-7537-4c0c-bd23-f055a2aae202,10.3561,28.3342,1.3699,240.8724,5.8726,-6.6945,-6.1083,1.8693,0,90880.52025,1754388.4226394324,-37.8463005,50714.08610486553,40166.43414893173,1755586.378,-39.70034759,0.018315975,0.3535777990247686,-4404491.119,-0.11283044,0.008095063,19.304339562978527,0.003842588,1.0694287417202322
geo-04bbea1c-790e-4f8b-af02-2f51700c0617,9.1541,27.225,1.1313,252.3333,7.2884,-4.7575,-4.8643,1.1534,0,176729.85263688696,2486739.2666543024,99.12388618272864,138298.8405300075,38431.01210687958,2489107.783233012,101.61553085183232,0.037985795,0.5344924218306377,-6926249.837,-0.196544023,0.008261917,14.070850111348294,0.00993385,0.4449926881784714
geo-04d68c0b-922c-4693-b524-f89feb7c45c5,10.4816,30.757,1.3839,244.2134,4.4177,-3.3227,-1.72,0.923,0,109805.70890366158,2332589.0500833434,61.62221152981532,69420.73635325162,40384.972550410246,2333853.610433141,62.32228931153058,0.022049243,0.4683893334362872,-10168225.06,-0.259332962,0.008109354,21.242875924874134,0.00666249,2.106478903250765
geo-04d9f688-700f-471f-88a8-dd93b49755f5,7.9052,26.2835,1.053,240.3364,4.4576,-3.5971,-5.0491,1.4058,0,104969.403,1965837.8022150288,-50.84873201,66292.35567,38677.047309664806,1967296.2848302852,-50.75787523,0.023071486,0.4320763713765151,-4776013.66,-0.13586921,0.008500879,18.727722045421554,0.007517238,1.137579707243307
geo-04e57c5f-3d92-4bbd-8c84-689f52e4e68d,10.0993,34.943,1.0723,257.2881,3.1347,-4.0826,-5.0807,2.4399,0,70888.14387010572,1422528.618304988,322.62802360950667,29743.388651071265,41144.75521903372,1422822.9241580786,322.8356775610125,0.015492001,0.3108815269395166,-3009386.968,-0.093820892,0.008993652,20.067229026501522,0.003046132,1.2206131851686204
geo-05643f74-a9af-4533-b556-d77f21d7c780,10.3746,29.7531,1.0384,246.8411,7.3666,-4.1543,-7.1037,1.6873,0,200595.65769330435,2707727.0793117546,137.33288299333657,162577.06886773324,38018.58882557037,2711249.7963179243,140.85496569999532,0.04427416,0.5976317873373281,-4878917.62,-0.160782935,0.00839117,13.498433168736227,0.010958374649772491,1.5871566950104932
geo-058af247-87c2-4710-b34f-7e3055c86eb6,10.8393,29.3006,1.2997,246.4673,5.3301,-5.9405,-5.8946,3.7763,0,169524.69893179287,2497448.902921356,-31.2197682,130794.67188993706,38730.02704185669,2500778.0814166763,-31.9434102,0.034806177,0.5127668689390673,-6374243.602,-0.176080041,0.007951862,14.732065112979098,0.007721271,0.5833076261258859
geo-05a95c27-4aae-4cf4-a086-d42583265063,9.6114,27.1158,1.3881,246.5033,4.7588,-5.8804,-3.9026,1.5002,0,77959.66431,1412741.5560781795,12.01499357387246,37537.410196209945,40422.25411137754,1413603.2510495516,13.315696503673124,0.015637334,0.2833710475317901,-4657478.107,-0.113392522,0.008107949,18.121442269226073,0.002659343,0.9356250853421411
geo-05b65ab3-55fd-46a0-be1e-f49ec4ffa1eb,10.1389,30.2003,1.2608,249.9963,5.1486,-6.3418,-3.1008,3.8825,0,162911.3752897672,2574222.030863277,127.20415169506929,124058.24138183802,38853.13390792963,2576959.395485134,131.42389893484298,0.033792373,0.5339656027347991,-7516081.998,-0.20345478,0.008060853,15.801364553485355,0.008951295,0.6666669020848724
geo-05c44079-b643-40b9-bdda-7af5eaec668a,7.7696,26.9148,1.3578,250.4707,8.8808,-5.6326,-2.0555,3.3146,0,434972.54400356096,3492452.308242071,202.15102052286608,399958.4744963712,35014.06950719066,3510620.780233325,195.19781813386675,0.087942825,0.7061046155462013,-10074421.94,-0.225567602,0.007079113,8.029132772604331,0.020426293469833195,2.510177068697186
geo-05c8fd52-ec85-4af5-8a6c-46c5fe779d2b,7.511,34.6883,1.0314,254.7847,3.2596,-6.4427,-4.4311,3.9707,0,72135.62698709655,1344108.8536399563,-202.9980122,31940.274397739508,40195.35258935765,1343601.6268814497,-206.9695134,0.015953353,0.2972600946410969,-1567959.843,-0.044200864,0.008889467,18.63307923947755,0.003744774,2.1293640987339884
geo-05cefb38-a9cb-42fa-b586-b4465d1377e9,8.7832,29.1673,1.3434,248.6319,5.1401,-3.7911,-2.8489,3.3215,0,269018.6178,3056160.742197356,35.779562332513294,231675.3242706277,37343.293502992754,3064940.1247028667,40.34760803260659,0.054596921,0.6202431919078468,-9591763.545,-0.23081316,0.007578725,11.36040608449305,0.013941880858500153,0.9553718393122835
geo-060c5f5a-dc41-4d05-bc2f-aa3c5a95095c,8.3892,27.3941,1.2893,251.2697,3.3317,-5.2263,-2.1982,0.1479,0,72669.76412,-22909.8602,-111.1305381,32857.93365392231,39811.83046149739,-22988.09714,-110.5665124,0.014961827,-0.004716863,-1659464.501,-0.040645188,0.008196732,-0.315259867,8.441821965507573e-07,2.960894389093424
geo-060d215f-de7c-407b-a696-ea71e9c0c777,8.4974,33.2129,1.2212,240.7732,8.3187,-6.9828,-5.5669,0.3141,0,82542.05753670266,1739323.2566917574,213.58249572122173,42643.96928709512,39898.08824960682,1740086.1993653276,216.03340984907328,0.017306418,0.364680221,-6164591.436,-0.15741213,0.008367037,21.071963900565205,0.004981825,0.8951230625700539
geo-0615eb18-3a2e-4b55-bd15-6879ec0e0ad2,9.1986,31.0084,1.3773,254.4156,4.7504,-6.9398,-5.2615,2.3449,0,71884.01139,1182715.2004307508,-54.56832751,30796.891817091087,41087.11957386134,1183391.421357527,-55.42758162,0.0144564,0.2378526755955585,-3078506.514,-0.072727895,0.008264589,16.453105183548708,0.001957692,1.2390937080668492
geo-061acdf1-4c36-4a33-ac67-96fa89e4c919,10.2824,26.6157,1.1411,254.3166,8.9012,-6.0497,-7.2318,0.2252,0,144383.16928469564,2097380.556604478,-144.3588556,105250.97041401178,39132.19887068288,2097696.8419979447,-145.4268499,0.030954921,0.4496663269662917,-5613117.242,-0.170294366,0.008389674,14.526489250757976,0.006259453,0.282200081
geo-0629282b-75ba-4509-8b81-45d2e8f4e9d6,10.5561,30.0449,1.3896,249.139,7.7822,-4.1342,-2.7736,0.0798,0,196960.4402720441,2875185.682633999,-4901.60866,157927.01803657404,39033.42223547096,2875662.7627879293,-4904.79541,0.039491341,0.5764860142436083,-11700055.55,-0.298191265,0.007826313,14.597782573306379,0.010021303,2.297150551462815
geo-062c8b3e-0e2b-4a94-845b-8c6b3999b535,7.8581,33.8716,1.014,255.5082,6.6353,-5.9837,-3.4337,2.2866,0,118280.77874742816,2440091.1508840444,310.23206685985707,78805.34727171264,39475.43148,2441946.474124101,311.70881348226527,0.026284817,0.5422465982949793,-5558858.497,-0.159812888,0.008774156,20.629650706768846,0.011910397295716982,1.8530321114464554
geo-064295b9-baac-4616-904e-b28384d74c0e,10.3054,30.094,1.1806,255.5434,3.757,-5.1112,-3.0471,1.7554,0,69607.96023,1296557.1762037307,-50.47689685,28475.39525978732,41132.56496647047,1297081.5388342848,-51.58565169,0.014757943,0.2748897767252425,-4065793.705,-0.117908898,0.008722488,18.62656472031845,0.002334009,0.9945814670016039
geo-064ae701-b3ac-4364-b0fa-ff78984cc273,8.5643,30.4926,1.3093,252.6452,7.6793,-4.6836,-5.6242,3.4492,0,345731.93657033355,3332633.449098197,31.122317868661757,309159.7233733241,36572.21319700973,3345763.4691596585,27.926156320179015,0.070802922,0.6824946189705278,-9701502.767,-0.236499685,0.007489635,9.639356670829924,0.017312378,1.6004840485718637
geo-06ac078a-8835-4cc2-92b2-3433490be994,8.8525,36.6812,1.0981,251.9103,4.7564,-6.564,-4.9317,1.9537,0,62427.260788384185,903803.3517639944,259.65368515276384,21912.06285445562,40515.19793392852,904250.7963361072,261.7916886771819,0.013546435,0.1961212591952002,-1809174.832,-0.052624172,0.008791569,14.477703175664134,0.001383036,1.441720229686856
geo-06ac924f-8507-49cc-917c-2b511b9c6357,10.736,25.0825,1.0862,243.5597,3.0721,-4.7792,-3.3958,2.5179,0,89982.51077770803,1675317.9649634406,-1.630293366,50320.31657982155,39662.19419788671,1676207.543507491,-2.944890438,0.019587525,0.3646856754581834,-3285511.32,-0.104495918,0.008635468,18.61826204318904,0.003943166,1.2612064414250095
geo-06c8e327-deca-4d20-ac7b-2173ad6d5219,10.1181,27.76,1.2178,252.0669,5.5683,-3.7338,-6.272,3.6401,0,283604.4047487811,3006667.3158287047,66.21289980869943,245785.0962,37819.30858936579,3016416.341003243,60.37091703107588,0.059530248,0.6311173136543152,-6827981.96,-0.193859293,0.007938456,10.60162418,0.012530585060303273,1.1381076043540874
geo-0723b050-8622-4896-9d95-ba4f181846e1,10.1565,27.6724,1.2849,245.9398,5.7751,-5.5356,-2.4329,0.5216,0,85328.90090044051,1709410.1587328364,-84.31334289,44990.50405252844,40338.39685,1710098.174528775,-83.077281,0.017585266,0.3522889840913207,-6584720.345,-0.175184144,0.00831494,20.033190873128987,0.003889593,1.1923772310433511
geo-0724352a-d586-4b93-b7a2-aa69f4d3d9e5,8.2762,34.9215,1.2569,256.4462,4.6004,-5.2964,-7.1223,1.3911,0,66906.42205819186,905756.0827009887,-36.63305189,26020.680920109276,40885.74113808252,906318.334,-37.65335218,0.013895758,0.1881159773866307,-2657279.475,-0.06624423,0.008491492,13.537655352624041,0.001361039,1.3468441085803633
geo-076503da-33dd-4ef6-bd8b-014cf8b098d8,8.2291,26.6586,1.359,253.6169,8.6851,-5.6486,-6.3666,3.1733,0,339652.5639778365,3187760.3398994817,152.6798697334999,303459.8008582687,36192.76311956822,3200349.081771466,148.4503019771186,0.068649357,0.6442986771527502,-8828449.582,-0.20324897,0.007315113,9.385356326,0.016057290584278124,1.489955189306833
geo-079d9c22-3825-47da-a461-730e2869a0df,10.8023,30.2689,1.3649,242.5538,5.0138,-5.4767,-3.8774,1.331,0,76881.55324625135,1643371.2970680748,101.53381433179896,36205.26696524664,40676.28628,1644151.0806008673,101.53518792357004,0.015511752,0.3315693700631016,-5727744.648,-0.147999518,0.008208573,21.37536545085603,0.003239535,0.9633215748187718
geo-07b3b5d6-3ba8-4329-ad7c-0453f3c7d103,8.6161,25.7745,1.3288,243.9108,8.6665,-5.3639,-3.4367,3.0083,0,400761.30324455607,3375209.996377394,199.26350208499275,365296.7534103949,35464.54983416059,3390380.184911492,194.8437854842557,0.081631571,0.6875007410843191,-9159549.011,-0.217160916,0.007225277,8.421995759200714,0.017461668445888732,2.1545613200724967
geo-07fabde4-bf9c-4daa-8a83-bb8d539e14cd,9.8737,25.7226,1.3732,242.5724,8.7605,-3.051,-3.2566,2.0942,0,511157.6375643826,3677436.834231845,-19.86321401,475880.2801140165,35277.35745036634,3692995.248721581,-19.47466532,0.1029078960425009,0.7403533853924449,-10358548.35,-0.254312039,0.007103585,7.1943302104503175,0.017670479435264078,3.530773750690725
geo-080cc79e-b71f-4d00-a3fc-056c66590bd2,9.3484,34.0746,1.1277,242.4481,8.4287,-6.7883,-5.1075,3.7634,0,260367.98521028165,3098914.734223964,-172.1260126,223835.02618095287,36532.95902932958,3107153.703,-175.5467489,0.05603071,0.6668807359406743,-7247401.732,-0.211802108,0.007861784,11.902057511875675,0.015142904554206891,1.1330366462137254
geo-082813f2-25c4-410f-aa02-ea183bccad83,8.1948,26.5169,1.2504,257.7092,5.2227,-4.3792,-3.3583,2.8151,0,206760.30301395475,2627116.4653715296,23.490388732066062,168478.89405643695,38281.40895751841,2632598.0478734644,23.45738708626368,0.043008535,0.5464706169249884,-7623564.076,-0.186991045,0.007964584,12.706096997711464,0.011599663729997852,0.45729855636172256
geo-087bccbb-cae8-4b0f-baa5-d581f3a3de4e,9.7075,30.8385,1.0676,245.2948,4.4541,-5.7126,-1.6252,2.5689,0,91965.63531975304,2062348.2100861983,-23.58249274,52291.77108,39673.86424432165,2063148.950136241,-25.84116805,0.020125192,0.451311559,-5173231.696,-0.158689154,0.008683737,22.425204837825184,0.006678757,1.1948952808236135
geo-0881699d-0e9a-49c1-a7de-9b8e551f05cf,10.426,29.609,1.295,248.1727,8.1456,-4.3619,-7.1463,1.4379,0,241412.84057685468,2921122.5286472933,59.17167230622485,203383.78348923044,38029.05708762424,2925447.0742229098,62.33750784,0.049628255,0.6005074630031731,-8974224.452,-0.243990417,0.007817752,12.100112494709432,0.011009541299237641,1.0880993702591846
geo-091fa750-7165-4c38-94ac-318996494619,10.8094,27.2907,1.0713,254.0754,6.3355,-4.0197,-6.6271,0.0913,0,102221.75417110776,1849049.079863303,431.3591484288067,61950.327954925146,40271.426216183325,1849145.5290461837,431.1789153804469,0.022350676,0.4042925788745008,-4539657.069,-0.148924355,0.008805257,18.08860643076231,0.004813268,0.7051563718753726
geo-095f6503-e6d6-462f-9c6b-716a705cfbe6,9.146,30.4862,1.1273,257.3532,5.7599,-5.9097,-4.8855,2.255,0,103685.89905027092,2130664.350113519,3816.605060752639,63537.94714447082,40147.95191,2131962.165,3824.670178096984,0.022315512,0.4585663662584622,-5270585.076,-0.152400365,0.008640687,20.549219996448002,0.007318521,1.2043549785670382
geo-0961a68f-9c13-418c-9e76-4c0c354ec5d6,10.0541,27.1716,1.2513,252.9157,3.0704,-5.7846,-7.0637,1.7954,0,92181.09288606732,54346.51478680676,14.201812939318344,52137.22758692337,40043.8653,55982.94828184656,14.145300362066912,0.019174038,0.011304294,1425291.2791767947,0.039328586,0.008329241,0.5895624914534355,4.0457009578062145e-06,2.755223536526344
geo-09782faf-847e-46ea-9332-f57312fae5e5,10.0084,30.6102,1.1347,241.8241,5.7738,-3.5725,-5.7842,3.1777,0,248688.98416709976,2991196.7143451604,-64.28601938,211469.11181865897,37219.87234843994,2998432.7313309307,-67.11168226,0.053401723,0.6423085370450148,-7055405.111,-0.208801654,0.007993947,12.027861726015642,0.013121179046952541,0.9702463637250675
geo-09ad9233-952f-4764-ac19-b1839da55609,10.0161,35.7183,1.1168,246.9455,4.9144,-6.8179,-6.4471,1.1045,0,62734.39396769702,284629.93914965563,62.94540769874344,22492.08352889504,40242.31043880178,284969.6356634084,62.78373764373911,0.013541629,0.061439234,712564.0671344602,0.021734904,0.00868652,4.537063660744398,0.000119962,2.3449677794667583
geo-09eac1c0-31ee-478e-82b4-41fce6fc14f4,8.2999,32.6648,1.1433,247.0854,5.8129,-6.6744,-3.8248,3.9401,0,147587.6120391387,2543186.839634669,-11.35233316,109277.36320182325,38310.24883731582,2545111.0499037234,-13.00884294,0.03162254,0.5449104261281937,-6553507.185,-0.178333096,0.008208419,17.231709386017105,0.011387476734219533,1.1819857749706886
geo-0a48726a-17f3-4e4c-b4ff-768a03d94907,8.5684,35.9168,1.1234,248.0027,6.3238,-4.3409,-5.8485,0.2633,0,76946.35244027189,1595622.7991896542,56.079641553394026,36691.67493640941,40254.67750386301,1596175.8207825555,56.76744716290267,0.016578661,0.3437887489234794,-5719273.189,-0.160543262,0.008673123,20.73682180618284,0.004390699,1.0238218865304385
geo-0a519698-c33b-4003-9d69-562286f5e563,9.6307,36.2655,1.3021,257.4315,8.7225,-3.8689,-6.5335,0.3415,0,188887.65455544577,3087033.160772074,377.2486907584505,149008.15030184947,39879.50425359494,3088346.292442456,374.1213499795185,0.038756874,0.6334122487045754,-12467604.41,-0.324047532,0.008182625,16.343223531667785,0.013260661446701145,2.471649317724419
