AR,Lambda_c_4,c_r_extension_factor,D_f,twist_r,delta_twist_k,delta_twist_t,alpha,mach,Cl,Cm,Cd
10.3476,28.4435,1.0668,6.1163,7.0664,-3.8376,-6.0414,3.7731,0.75,0.7625726379927682,-0.1893802545270332,0.0564734448062633
8.2653,35.5486,1.3175,6.1846,8.2583,-6.7749,-2.8617,1.9322,0.75,0.5263570144060855,-0.2239390757002061,0.023511495186874
10.1778,29.2015,1.046,6.2507,3.3602,-4.6148,-6.9839,3.4429,0.825,0.4122378092861349,-0.0492339527027744,0.0192289182451485
9.2915,34.1399,1.3984,6.4128,6.3263,-6.3233,-2.0993,1.1645,0.775,0.3411613653580431,-0.1723106226764217,0.0157225423717044
8.371,25.8775,1.085,6.3257176,5.9428,-6.4524,-7.2644,0.5322,0.85,0.1217815196512616,-0.0413345467780181,0.0161070388486938
7.6903,36.1112,1.0255,6.503,8.2382,-6.7698,-2.9599,0.3609,0.825,0.3755833247515482,-0.1580361366894009,0.0180793205739887
8.1551,29.8579,1.3418,6.281,5.7588,-3.2207,-5.5464,2.6982,0.775,0.6679425727384429,-0.2159822043386927,0.0342591883249209
10.0876,34.0643,1.3536,6.3566,8.2351,-4.1173,-3.1812,0.6489,0.8,0.6852735994825174,-0.3480132373230496,0.0350072965843917
8.8118,32.3075,1.2552,6.277,8.011,-5.5358,-5.5415,0.982,0.75,0.4809447440103699,-0.1897793052559929,0.0211657961547437
9.0576,35.1156,1.0933,6.2498,3.1881,-3.9948,-7.0152,0.5076,0.775,0.0411941272547342,-0.008792145869905,0.0127206159742051
8.1415,26.8676,1.0165,6.2824,8.1445,-4.1328,-5.4738,1.4504,0.8,0.6514456226164226,-0.1670780014656308,0.0442987458300701
10.0507,31.29,1.2499,6.4115061,8.8571,-6.8534,-3.484,2.1543,0.85,0.6158665957168769,-0.2642999289430052,0.0476078986655917
8.1766,36.8409,1.2745,6.374846279999999,8.6713,-6.775,-3.6186,1.1598,0.85,0.5239122804734506,-0.2548286384332173,0.0247123357796258
10.2174,27.0006,1.0385,6.5029,6.6859,-4.7586,-7.4437,3.7905,0.8,0.6837307898252886,-0.1308833813267417,0.0492807138743126
8.3241,28.6272,1.1178,6.143,3.8722,-5.8131,-4.7153,2.3405,0.825,0.2450820074471824,-0.0672050098379737,0.0143397837121642
7.8016,26.0155,1.0755,6.2898,7.7108,-6.7648,-2.1961,3.0243,0.8,0.6249410381492898,-0.1706578661763153,0.0427472389742867
9.8096,31.658,1.2894,6.31453398,8.5707,-6.1374,-4.8423,3.9971,0.75,0.7276337845853793,-0.2716400368767402,0.053402188122101
9.6719,26.0461,1.2963,6.16937298,7.4553,-4.9002,-6.5967,2.6914,0.85,0.5969811723564792,-0.1942487787748144,0.0572924472221173
8.5573,25.9504,1.221,6.50229332,8.3351,-6.1663,-5.5781,2.9568,0.85,0.6100882069994765,-0.1842667971910754,0.0592051229638815
9.3805,31.9285,1.3723,6.5111122,7.426,-6.7122,-5.8694,0.3952,0.85,0.3051612738937579,-0.1370716413339261,0.015842650510925
10.6917,36.6548,1.3465,6.16502196,7.2747,-6.7019,-4.2732,1.761,0.75,0.4193935925657392,-0.1912419683995993,0.0174749579010477
8.743,25.0117,1.0175,6.19345726,3.7409,-5.9963,-2.5198,1.0784,0.85,0.0879514727731136,-0.0491160187204436,0.0146678120117933
9.5209,26.8804,1.3861,6.47729972,5.0255,-6.4629,-5.7284,0.8911,0.75,0.1119522976536281,-0.0398034562075675,0.0128639717285331
10.6332,27.2605,1.0322,6.2043,3.6239,-6.0272,-4.5561,3.386,0.8,0.3484144618351174,-0.0375016339434007,0.0165043998050738
8.5245,31.8337,1.2961,6.1921,3.1283,-5.7361,-7.0341,0.4516,0.8,-0.1129642784440151,0.0489328147254967,0.0169173280945439
9.3844,35.566,1.1281,6.44732518,6.1168,-6.2279,-5.6778,0.0511,0.75,0.127809299886587,-0.0562886814576842,0.0129704945437743
10.6348,31.9359,1.0882,6.3225,7.8647,-6.7924,-3.8117,1.7,0.775,0.5214276010024721,-0.1713428082706764,0.0215247936158323
8.5793,26.8247,1.073,6.50465298,8.7011,-3.9736,-3.9915,3.0317,0.85,0.7587005158611915,-0.1793912692030669,0.1026649788511434
7.909,29.8271,1.3644,6.09954076,8.988,-4.4997,-1.7286,3.0027,0.85,0.7385533749260764,-0.2492812271667334,0.1000216581510353
7.6628,29.6524,1.3055,6.3716,6.9143,-5.875,-5.0507,1.4437,0.775,0.412707810000345,-0.1480284080874503,0.0193817259573715
7.6379,32.0229,1.2632,6.4246,7.0028,-6.7628,-3.5473,2.7407,0.775,0.5098808258318189,-0.1744238962744946,0.0235627939321424
7.833,26.6166,1.358,6.4482,3.2377,-3.9493,-5.6906,0.6729,0.825,0.1167223729772194,-0.0634509183060411,0.0125449552588927
10.905,27.6514,1.15,6.351,5.3396,-5.7515,-6.2577,3.69,0.825,0.5138732010650853,-0.136234261049955,0.0311313953885247
10.289,33.31,1.3673,6.30287538,3.9498,-3.5048,-2.1774,2.8035,0.85,0.5878587563597174,-0.2913415656773983,0.0320997925811962
9.1822,26.8349,1.1359,6.545,4.391,-3.5095,-4.9926,0.685,0.775,0.2962303541165591,-0.1180766047232809,0.0155157920895612
7.6265,37.24,1.0529,6.3862,5.6804,-3.5988,-3.7361,0.1157,0.8,0.3199340422658666,-0.1595227476848496,0.0163687025367798
10.0742,35.8245,1.3127,6.2471,6.3109,-5.7159,-5.3849,1.4118,0.825,0.3762048092019441,-0.1670949211580747,0.0166720188034746
8.5269,31.9666,1.3615,6.2047,5.1064,-6.0384,-4.2444,0.7703,0.825,0.1710095923404012,-0.0841430041377708,0.0125183137836847
9.3648,34.6236,1.0217,6.3024,6.1598,-4.7284,-4.6319,3.7396,0.75,0.6692106176066379,-0.1391207806537183,0.0323026058555853
8.4475,28.1596,1.3639,6.3156,3.7221,-3.5421,-4.0895,3.1777,0.8,0.5535921559234274,-0.1760677304549227,0.0248040357269557
8.3878,26.512,1.3068,6.4389,3.2554,-4.0661,-5.0522,0.0337,0.775,0.0462836211046257,-0.0496649541834873,0.0120037169175678
8.5164,25.684,1.3841,6.2826,4.2741,-5.1224,-6.1416,3.6053,0.825,0.5185941715447328,-0.136859123327772,0.026210832250507
8.337,27.2845,1.2428,6.5405,3.5261,-3.8858,-2.6073,1.0232,0.775,0.2580394656397399,-0.1180587728967086,0.0144181268762767
9.5752,32.1939,1.1076,6.11653844,7.7123,-4.0419,-2.8936,0.6148,0.85,0.6421674078287487,-0.27222348766333,0.0427447530686261
9.4117,28.5447,1.0174,6.4871,7.7901,-5.6198,-4.8064,1.0508,0.8,0.553118894419295,-0.1445607206385523,0.024255989181642
8.7231,37.1044,1.1235,6.266941999999999,8.7464,-4.9385,-6.8116,0.6924,0.75,0.5071920625608133,-0.1999652234713655,0.0225975888859883
7.8687,26.2474,1.0779,6.5133,6.6567,-6.7794,-1.5285,3.0855,0.775,0.6105680087863035,-0.1473074130846237,0.0290063326592419
9.822,32.7584,1.2778,6.534,8.9192,-4.9043,-4.3091,0.145,0.775,0.5826037025154518,-0.2768127164021089,0.025595316425155
8.8697,32.0418,1.1619,6.14572558,5.9521,-5.4304,-5.2908,0.5153,0.75,0.2442970978648173,-0.10116045125662,0.0140738459093097
7.9862,35.8068,1.247,6.3912,8.4083,-4.143,-3.8586,0.6043,0.75,0.57538597490863,-0.2644627379816188,0.0276536836490186
8.0851,36.201,1.2752,6.2605,4.55,-4.1601,-6.7096,0.8274,0.8,0.2079865549899617,-0.092308448956883,0.0134837402761731
8.748,25.3974,1.3729,6.4637,3.3681,-6.7269,-7.1498,2.0645,0.775,0.0171099234308289,0.0137265044505179,0.0143653757764495
10.7493,35.6009,1.2614,6.3005,7.2382,-4.8691,-1.9878,2.4084,0.775,0.697283812818726,-0.3351186010615263,0.0356448420027426
9.7291,37.2631,1.2092,6.4466,7.5514,-3.9006,-6.0657,0.5053,0.8,0.5052438575953366,-0.2501165191853173,0.0217851264726499
8.2682,35.2769,1.0072,6.4982,8.5016,-3.9205,-3.8718,0.5727,0.825,0.6772254911854445,-0.2364567173497459,0.038506799944748
9.1023,35.5425,1.1396,6.4409,7.0889,-3.6811,-6.095,1.0443,0.75,0.512900362452396,-0.2103204495693676,0.0224485570646103
8.3975,35.5372,1.0985,6.39618228,8.4959,-6.9032,-4.9738,3.8278,0.85,0.6702677352720143,-0.2060227509817196,0.0530890593932258
8.5475,35.9888,1.0595,6.513779199999999,8.63,-3.6361,-3.8662,2.1848,0.85,0.7420795609686138,-0.1911117666184529,0.0802088568660436
10.6863,27.1012,1.345,6.3106,7.9878,-3.0683,-2.1181,2.4116,0.825,0.7395946128507824,-0.2601293612661153,0.0934726236513658
10.5269,36.8956,1.2284,6.373,8.1044,-4.1657,-4.2786,0.7268,0.775,0.5908508443961895,-0.3086721986219392,0.0258888257913505
8.9571,29.0563,1.0959,6.1796,7.5038,-3.2205,-2.3771,0.0954,0.775,0.6446377315175389,-0.2482302429561806,0.0310048279338575
7.8824,30.6342,1.1996,6.138100499999999,8.9314,-3.4871,-1.5492,0.2431,0.85,0.6898316630648533,-0.2744786467192061,0.0681065024928921
8.5075,26.7024,1.2226,6.53,6.0893,-3.0074,-2.8171,1.0285,0.8,0.658386596947097,-0.2469447189014799,0.0344990205360523
8.8774,36.9647,1.1666,6.5105,7.8509,-5.3126,-1.8249,0.7223,0.775,0.5006503170347907,-0.2616472805302138,0.0221395937361751
10.8483,28.7909,1.0725,6.2412,3.5524,-4.4126,-4.8731,1.1297,0.825,0.1837692010345006,-0.0617697294566606,0.0134359596093785
9.0558,36.6327,1.2966,6.4479,6.8824,-4.843,-2.5255,3.6438,0.8,0.7616045559493791,-0.3053827294094127,0.0519418846044749
7.5841,26.348,1.1693,6.1107,7.352,-4.7857,-6.581,3.8657,0.825,0.6754299479628009,-0.1756970998638648,0.0641042069389626
9.4997,33.0205,1.389,6.1335,8.4434,-3.3172,-5.9918,2.6725,0.775,0.7439696499300403,-0.3005378656815635,0.0641027735652892
9.7178,31.543,1.2406,6.113,5.9894,-6.4291,-1.5907,1.5577,0.75,0.3641097213134907,-0.1615990522263262,0.0160941074607198
10.9497,35.2896,1.3926,6.2846,3.9914,-3.8331,-2.8109,0.427,0.8,0.2178486171128294,-0.1479347293124785,0.0127583510955109
8.1441,32.1071,1.3607,6.2868556,8.1441,-5.2357,-6.7636,2.8141,0.75,0.6749263775237229,-0.2162192384969312,0.0358957975882855
7.5387,31.7325,1.1815,6.2112,5.9779,-6.1523,-3.5938,0.7432,0.8,0.2488025416195696,-0.1137147753911498,0.0141533779916452
10.538,28.7505,1.2166,6.2008,7.001,-6.4421,-3.5734,1.3065,0.75,0.4212609563396152,-0.1584908762626765,0.0177280127416233
7.9132,31.2585,1.2414,6.18056676,6.483,-3.6924,-1.6535,1.0358,0.75,0.554985226679301,-0.2304247667249487,0.0261793726725269
9.5037,34.7204,1.3938,6.48970508,8.632,-4.1854,-5.9134,0.7356,0.85,0.6351141330102185,-0.3056886017375564,0.0436943257002776
10.3303,35.2411,1.1208,6.4849,5.9876,-3.0084,-5.5513,3.456,0.8,0.739254540766604,-0.2597152484181694,0.049526957472365
7.7017,31.1036,1.0555,6.5222,6.8334,-6.2655,-7.1025,1.3528,0.775,0.3146931854576995,-0.0841129173419011,0.01696197875664
9.9637,29.3437,1.1654,6.43749538,3.5889,-6.9959,-3.6271,0.1795,0.85,-0.193638147349364,0.0709661189827397,0.0276890535669729
7.718,33.2675,1.1159,6.2704,6.8058,-5.742,-6.8018,0.0521,0.75,0.2090159811711548,-0.0864460396672871,0.0141360653855325
10.5659,35.6039,1.2686,6.244846539999999,7.0572,-6.2661,-1.762,2.6313,0.75,0.5738643628984357,-0.2673223770420761,0.0240680361429207
8.5865,28.6636,1.1651,6.4269,5.1853,-3.4332,-1.9245,0.7083,0.75,0.4327420171289999,-0.1866523139353194,0.0194908195406101
9.8002,32.546,1.0711,6.3614,3.0414,-3.4846,-3.2331,1.2529,0.775,0.2340889273965946,-0.1066495215564161,0.0138468791499674
10.3302,29.7132,1.1006,6.388,6.3999,-5.7985,-7.3499,1.6206,0.8,0.3883457835841662,-0.0911713928330301,0.0183309523942177
9.2279,36.0037,1.1384,6.1563,3.7341,-3.1112,-7.0808,1.4531,0.825,0.2822045570044175,-0.1027599526422635,0.0148922944449741
9.2012,26.652,1.0057,6.4958,7.0269,-6.7972,-7.446,0.8956,0.825,0.2766382504775246,-0.051554896586737,0.0166835280303751
7.5861,34.25,1.2447,6.4877,5.5633,-3.828,-7.1238,1.9606,0.75,0.4270783561614467,-0.1532274865737066,0.0202064763904658
8.8462,26.3292,1.33,6.50587472,4.2943,-6.2899,-7.013,2.4597,0.75,0.2028985637772598,-0.0396943352841711,0.0145897988625814
10.9526,30.9229,1.0061,6.1883,6.6049,-6.1721,-3.7483,0.9553,0.775,0.3554631346148998,-0.099028778306356,0.0160299836750575
9.3613,29.3886,1.2427,6.5018,6.4665,-5.3911,-3.8049,3.9422,0.75,0.7411764416965487,-0.2192518494193726,0.0391831131402346
7.7919,30.7164,1.3272,6.260642799999999,4.0529,-3.436,-5.6264,1.443,0.75,0.3099683051463791,-0.118423857534009,0.0156736297155588
8.799,30.4897,1.0665,6.25702584,8.575,-5.0201,-4.4947,0.5321,0.75,0.5647288878953127,-0.1886038163412859,0.0250696619495546
9.6868,30.2598,1.2997,6.50023084,4.995,-6.9431,-6.1002,1.3282,0.85,0.1038597182529804,-0.0196333255820814,0.0141005195768306
7.5224,30.1988,1.3992,6.2496,4.4625,-3.6467,-4.5589,1.5876,0.825,0.4066397026244538,-0.1594812048571347,0.0191512735463581
10.3855,30.3886,1.2726,6.4511809,8.6708,-5.9616,-7.265,2.8746,0.85,0.636825383491905,-0.2293736319095996,0.0582149408298209
10.5133,35.8638,1.3351,6.4895,4.2441,-6.1391,-1.6218,2.6534,0.75,0.3140929654444659,-0.1490213405307542,0.0147754778199414
7.7442,35.9572,1.3811,6.28048274,7.2324,-6.1842,-7.1873,1.2313,0.85,0.3669706764968325,-0.1513233235865893,0.0180257151705542
9.1151,33.3085,1.2549,6.1871,5.0843,-3.1687,-5.9566,0.0858,0.8,0.2904478789285458,-0.1457688092536781,0.0148644413712045
9.8177,30.0347,1.3318,6.4211,7.2184,-6.0605,-2.2117,0.6498,0.825,0.4638793986306992,-0.2227471294740538,0.0196820801034654
10.8506,35.2652,1.2688,6.4849,8.875,-4.6277,-1.6841,3.5358,0.8,0.7163344921369023,-0.2513675487077473,0.0901921425607596
8.1893,31.015,1.0616,6.3874,8.3103,-6.5678,-1.6148,1.9906,0.775,0.6429578482288119,-0.198160730276758,0.0313181097663693
9.4783,27.6568,1.191,6.5235,7.9825,-6.5805,-6.6822,0.3019,0.8,0.3412042868984307,-0.1225293331910939,0.017255987808407
9.4749,36.9999,1.2146,6.4478,5.304,-3.0336,-4.1925,3.5809,0.775,0.704081641245879,-0.2867389511048111,0.0379968048596564
8.3471,36.0145,1.1854,6.32090176,8.5146,-3.8034,-2.5988,1.7202,0.85,0.7194636382451054,-0.2679346288460705,0.072265577447304
10.3394,30.6711,1.0666,6.48552678,6.8518,-5.1472,-3.8009,1.6135,0.85,0.5781469188994889,-0.2121871465251682,0.0335352459141704
9.6119,35.0188,1.1723,6.3423292,7.3963,-4.1058,-2.6526,3.5272,0.85,0.7082808579605899,-0.225306494518868,0.0810515238379118
8.3584,29.5233,1.141,6.3963,3.8465,-4.0748,-4.8189,2.4369,0.775,0.3837520679111368,-0.1169648235778993,0.017833174315658
10.1373,33.9868,1.1636,6.4321,6.7859,-3.9836,-3.8861,2.1346,0.8,0.7089239409313558,-0.2946827333057753,0.0363948949734069
10.5143,29.4161,1.1699,6.50902432,3.8276,-5.545,-6.2791,1.4075,0.75,0.1086780386328311,-0.0135687069094542,0.0133887390473371
9.5513,35.9023,1.3547,6.1112,8.0723,-4.8966,-6.6967,0.6762,0.75,0.4683625743361976,-0.2108703725568698,0.0201897067653759
10.9964,32.3612,1.0922,6.1893,7.9091,-3.3996,-2.2311,0.1359,0.775,0.6704012419742577,-0.309323801416358,0.0317019275397321
10.1151,34.6876,1.0211,6.3824,4.5621,-4.705,-6.2195,0.8138,0.825,0.1767934127428587,-0.0441543210376373,0.0136322019175754
10.147,28.8365,1.1614,6.2936,4.5375,-3.9433,-7.4009,3.0323,0.75,0.494033966436344,-0.1173290444940576,0.021516070796886
8.7174,35.7125,1.1307,6.409710319999999,4.466,-6.686,-6.8804,3.2095,0.85,0.2764342317539693,-0.0434952310783174,0.0157220271062131
9.1001,33.9543,1.2883,6.1969,4.4175,-3.8536,-7.1377,3.2569,0.825,0.5393814524445691,-0.1834603810757397,0.0243308758510881
8.222,25.2122,1.3463,6.5357,5.5025,-5.1956,-3.3841,0.9012,0.75,0.3131395544731182,-0.1214749469395046,0.0157473810871196
10.1019,36.8701,1.3218,6.228,3.2096,-5.3799,-4.4755,1.2035,0.75,0.0660050804885363,-0.0199119406844661,0.0116780457627854
8.4041,27.1688,1.259,6.2289,8.6753,-6.3061,-7.4421,2.6015,0.825,0.5912297978462614,-0.1918218939862622,0.0442221862876623
8.5197,26.4459,1.2856,6.1459,8.7629,-3.8011,-7.1509,3.1097,0.75,0.7642181051918172,-0.2323875731711755,0.0671754506747732
9.5841,35.4757,1.3254,6.511,7.7206,-6.4974,-1.8487,1.4347,0.75,0.4800953307694927,-0.2417059961580655,0.0202619704222292
10.8368,26.4433,1.3153,6.3598,7.0435,-4.5346,-7.0745,1.8254,0.775,0.6294426677822688,-0.1963833883340621,0.029338944663321
9.9834,34.0824,1.2578,6.308001099999999,7.8374,-3.0314,-6.0573,1.6736,0.75,0.7261859353820823,-0.2976055012607259,0.0390231285134253
10.2635,36.7001,1.1989,6.3938,7.3316,-4.7302,-2.3585,3.756,0.8,0.713967464584391,-0.2816478827586598,0.0606540007359408
10.8611,25.1624,1.0611,6.317,7.7627,-5.774,-3.3026,1.9723,0.775,0.6173785492053478,-0.1809653201086898,0.0353792608127918
9.1493,35.8049,1.1446,6.2482,3.1254,-5.6759,-5.103,3.6617,0.8,0.2936350406033748,-0.065776652666652,0.0150526254766705
8.6822,29.0429,1.3348,6.14836972,6.246,-3.4653,-7.0864,1.5639,0.75,0.5236241230592074,-0.1745413741551239,0.0236403347353293
10.037,32.8614,1.3096,6.247719279999999,3.7207,-3.704,-4.9683,2.2666,0.75,0.3656224309793423,-0.1448657843033534,0.0162007547914232
9.9579,28.6549,1.2981,6.1387,4.4538,-6.3689,-5.0579,1.7409,0.775,0.1780388935442974,-0.0501492169424462,0.0131139052019436
9.4811,31.3433,1.0745,6.44731502,3.7359,-3.8843,-3.6983,1.2963,0.75,0.2680681742249977,-0.1063240649839755,0.0145928714096785
8.683,31.4153,1.1091,6.333571279999999,6.7597,-4.2379,-5.4738,2.0469,0.85,0.6124850724609742,-0.2105885045464843,0.0409849037653832
8.0722,30.2178,1.1261,6.3657,5.6606,-5.991,-1.649,0.3008,0.775,0.2209608620585565,-0.1199844768051753,0.0137145967747754
8.961,30.8125,1.2104,6.3902,3.7557,-5.4435,-7.4503,0.437,0.775,-0.0316862665770521,0.0182881719559158,0.0143290101340261
9.9455,32.5623,1.3043,6.3967,7.9749,-4.2146,-5.1245,2.8986,0.8,0.7276385462033539,-0.3002951120107082,0.059336774273269
10.0108,30.5682,1.3389,6.5179,3.2086,-4.2414,-5.6433,3.4719,0.775,0.416840303592301,-0.126826279213626,0.018293648544004
10.9424,35.8095,1.0882,6.4597,4.7981,-3.8922,-3.0435,2.6996,0.775,0.5363442776692222,-0.2148861932646473,0.0219674537065766
8.8661,26.0735,1.3768,6.1271,8.852,-6.3459,-4.662,3.351,0.775,0.7012109308958807,-0.2297742133251194,0.0552091183596029
7.6409,27.2309,1.3412,6.2239,8.0781,-5.5771,-2.6026,0.2092,0.775,0.4769859245559177,-0.1863068577765171,0.0219916336561508
8.1987,34.2601,1.1818,6.452,7.2713,-6.7123,-7.2174,0.7316,0.75,0.2427911989251631,-0.0857764738807442,0.0150240673617609
9.2503,28.4233,1.1809,6.30797316,6.8008,-6.5487,-5.7131,0.1551,0.85,0.2231912100519508,-0.0955760410791663,0.0146521424395275
9.4476,32.9141,1.3523,6.5249,7.1384,-6.1163,-5.6463,3.8201,0.8,0.6278242213825023,-0.2408647807738418,0.0383505268376188
9.4244,33.0906,1.0644,6.1261,7.9498,-3.6614,-7.2428,3.0538,0.8,0.7379063474466105,-0.2079265346640134,0.0587833434471619
7.5269,36.5988,1.1052,6.47649708,6.3874,-4.797,-1.7235,3.7284,0.85,0.7128803383543076,-0.2271615523886786,0.0607257989756501
9.6376,32.8901,1.1341,6.5199,8.4578,-5.5007,-7.388,1.6329,0.8,0.6269632829638168,-0.202976659252263,0.0299770238959041
7.9347,33.6553,1.2752,6.48841984,3.7293,-5.415,-4.0996,0.2696,0.75,0.0234192748477364,-0.0356714585767155,0.0116428303120405
8.0565,36.101,1.0363,6.3302,4.0763,-5.1585,-4.81,1.709,0.8,0.2043289384878622,-0.0619032798019487,0.0135414604568337
10.3561,28.3342,1.3699,6.11815896,5.8726,-6.6945,-6.1083,1.8693,0.85,0.3535777990247686,-0.1128304400096482,0.0183159749066398
8.095,36.5608,1.0232,6.5421,5.1134,-5.9562,-4.8486,1.3986,0.775,0.200566889410329,-0.0603517817622558,0.0137479451187061
8.4579,33.7103,1.3298,6.4249,6.0267,-4.3426,-6.5621,3.4787,0.775,0.6387076572152366,-0.2141300390191436,0.0317270619358969
8.0539,34.2257,1.2722,6.428,6.3677,-6.4781,-2.3256,0.7014,0.775,0.2678322876956944,-0.1391301363581003,0.0144136956510922
8.6469,31.7485,1.221,6.0989,8.8296,-5.6336,-5.0171,2.0277,0.775,0.7154455723988548,-0.2441039771992293,0.037732917857001
8.7548,27.7278,1.1029,6.1364,8.3298,-3.2318,-5.9125,2.0432,0.8,0.7415406769229167,-0.2181898012102537,0.0664282808320844
10.5469,27.3523,1.1214,6.4824,3.8613,-6.9595,-7.4048,2.0679,0.8,0.0359876663372075,0.0496737514221567,0.0158395300270608
9.1541,27.225,1.1313,6.40926582,7.2884,-4.7575,-4.8643,1.1534,0.85,0.5344924218306377,-0.1965440226869892,0.0379857945753799
