AR,D_f,Lambda_c_4,alpha,mac,mach,twist_r,twist_t,Cd,Cf,Cl,Cm
10.2756,6.267539,35.2073,2.3417,6.785296,0.5,6.2346,0.3344,0.021986803,0.010116652,0.5308804,-0.19050825
8.0693,6.271156,34.1417,2.8843,7.866873,0.5,7.2145,-3.7388,0.027178556,0.0098364195,0.5874784,-0.15819934
9.3659,6.52258,29.58,1.0318,7.982334,0.5,4.2804,-3.12,0.014322462,0.009784978,0.24558917,-0.108065
8.5336,6.163719,33.0333,2.3663,8.607008,0.5,6.4082,0.8157,0.026702676,0.00928491,0.59334457,-0.23569958
7.6233,6.240582,28.9223,1.3963,7.946078,0.5,6.3336,-6.6147,0.016602652,0.009929574,0.28502256,-0.06439839
10.1343,6.355504,29.1088,3.9778,6.768393,0.5,4.8612,-4.3008,0.025762612,0.010193756,0.61685425,-0.09347965
8.6322,6.375245,26.0279,1.6949,8.550249,0.5,4.3315,-2.7927,0.015579423,0.009507246,0.3047813,-0.10553368
8.7451,6.1479025,36.651,3.6846,7.742283,0.5,8.1189,-3.9002,0.02523698,0.009683052,0.5691539,-0.16938367
10.9432,6.112289,33.4556,0.9951,7.292425,0.5,4.5498,-4.6421,0.0123456605,0.009662465,0.11385691,-0.051184524
7.816,6.2365484,29.3195,2.7513,7.650681,0.5,8.2953,1.442,0.040322,0.0095148785,0.7674488,-0.14803074
10.0178,6.2904167,32.8155,0.0949,7.751282,0.5,3.9251,-6.6776,0.012382581,0.0095991,-0.024312336,0.0039886707
9.1954,6.4009347,29.8802,3.5963,8.395746,0.5,5.086,-6.36,0.018052079,0.009503009,0.37923434,-0.09644117
7.6607,6.3379655,31.2036,3.2532,8.147725,0.5,8.6124,0.9007,0.03695873,0.009531825,0.72457063,-0.20110331
9.0991,6.1778107,32.3906,2.98,7.708245,0.5,4.4423,-4.0197,0.018446295,0.009726012,0.41006234,-0.12802826
8.7901,6.4317474,36.8711,3.4616,7.635692,0.5,3.9554,-5.0102,0.01740857,0.010001058,0.36264575,-0.10569532
9.0098,6.1837826,30.3462,2.6565,7.375586,0.5,6.6758,-4.9549,0.023089653,0.009925842,0.5205562,-0.113834746
10.7577,6.4231443,31.81,0.1068,7.365034,0.5,6.8475,-4.7268,0.014036471,0.009881557,0.20266189,-0.08529962
8.4284,6.483698,26.6021,2.9019,8.782608,0.5,3.8231,-5.8372,0.0147428075,0.009502304,0.2543994,-0.06484247
9.5537,6.170432,27.3536,0.4869,8.031073,0.5,3.8962,-6.252,0.012553829,0.009485679,0.09657382,-0.042312376
10.5447,6.42112,25.1046,2.2574,6.603045,0.5,6.4842,-2.5309,0.019579563,0.010362065,0.45904225,-0.086365856
10.8051,6.11678,27.9198,3.6409,7.234192,0.5,4.9739,-8.4443,0.016851109,0.009725849,0.3289995,-0.04312169
8.038,6.194351,25.2734,2.172,8.37404,0.5,3.318,-7.7076,0.0125954645,0.009552238,0.08155545,-0.017759329
7.8043,6.1420527,33.7848,2.5274,7.742966,0.5,4.4003,-4.0141,0.01630117,0.009933091,0.314869,-0.07837168
10.9257,6.2472343,34.568,0.6447,6.939106,0.5,4.7407,-7.3215,0.013126617,0.009936757,0.06830253,0.00040243161
8.262,6.4953895,35.5475,2.5156,7.499025,0.5,5.8723,-6.1537,0.019242706,0.010220913,0.3919756,-0.07204354
8.8499,6.5204263,35.302,3.1245,7.263929,0.5,5.5861,-4.833,0.016988102,0.010285463,0.33947492,-0.06534988
9.2957,6.545989,35.6876,2.4404,7.484497,0.5,7.2473,-1.3523,0.022075245,0.010026535,0.5072902,-0.19332977
9.0901,6.31572,35.4506,2.9965,8.266532,0.5,6.7001,0.0773,0.025716756,0.009442594,0.58810496,-0.2491283
8.5228,6.457983,36.5312,3.9181,7.942253,0.5,3.3302,-4.4943,0.019156624,0.009882262,0.41443002,-0.13195977
9.5654,6.22076,32.9176,3.0643,6.89195,0.5,4.4985,-4.1975,0.016880916,0.010204437,0.35647547,-0.061085146
8.8856,6.320602,34.349,3.6371,7.819217,0.5,8.676,-2.5974,0.029473338,0.009684874,0.6545587,-0.20512712
10.1058,6.244435,33.1154,3.4245,7.437598,0.5,4.0784,-6.8285,0.016671518,0.009788951,0.34561002,-0.08409479
8.0486,6.3265505,34.3861,2.6636,7.480103,0.5,5.2242,-8.5831,0.015304441,0.010169419,0.2191216,-0.0023421168
8.9806,6.3594565,32.9539,2.0326,7.808339,0.5,3.1049,-6.5962,0.013562499,0.009823031,0.17827982,-0.050463825
7.5664,6.2169623,32.703,0.732,8.708484,0.5,7.0747,-1.4571,0.015425998,0.009523817,0.28593,-0.12686498
9.8076,6.5408707,27.1467,2.1362,7.207883,0.5,6.4237,-6.2206,0.01791917,0.010170494,0.35989416,-0.0750699
8.871,6.3095884,30.7944,2.3195,7.396829,0.5,8.0835,-0.1986,0.026282903,0.009989817,0.59956163,-0.17256688
9.8345,6.1247606,26.4696,0.4523,7.734449,0.5,7.1773,-4.3394,0.016725753,0.009634642,0.33803537,-0.11284826
10.3959,6.293335,25.5428,2.9421,6.840689,0.5,5.038,-3.6056,0.018162671,0.010144986,0.41373953,-0.08702633
9.6145,6.485819,35.3194,1.6683,7.429062,0.5,4.0219,-6.1404,0.013417401,0.010019534,0.16079672,-0.04806775
10.2356,6.4292836,30.8616,0.2628,6.639586,0.5,7.1573,-3.0752,0.016211063,0.010434986,0.31224778,-0.08783754
9.7862,6.1822634,32.559,1.2214,7.031689,0.5,6.6117,-4.6875,0.015270201,0.010047096,0.278447,-0.075905554
9.1606,6.3723264,34.9303,2.7695,7.414034,0.5,6.7544,-1.0359,0.025721963,0.009936655,0.59278727,-0.20303306
10.6842,6.3475766,31.4124,0.0404,6.880297,0.5,3.6727,-5.7461,0.0131233735,0.010102518,0.09062537,-0.044578638
8.5589,6.1796727,35.5643,1.2961,7.279392,0.5,8.5625,-2.3853,0.022619432,0.010098886,0.5050941,-0.120142624
8.9198,6.4128194,37.0257,1.5013,7.522489,0.5,8.2071,2.2176,0.027487101,0.009927255,0.61364424,-0.2652859
10.7142,6.5132813,29.4093,0.6731,6.94224,0.5,7.3902,-1.0591,0.018319875,0.010197716,0.41768855,-0.16708484
10.6483,6.438011,36.4271,2.1549,7.783868,0.5,4.7336,-5.1224,0.013819866,0.009652334,0.23052406,-0.088922426
7.7288,6.1690326,34.2752,0.1284,7.917747,0.5,5.4616,-7.2129,0.012870459,0.009816583,0.035630837,-0.018842762
8.3568,6.235385,35.895,1.7707,7.688517,0.5,8.2277,-0.6704,0.023783958,0.009891777,0.5307043,-0.18611601
10.5137,6.5386305,36.9793,0.6245,7.877632,0.5,4.363,-2.3568,0.013533645,0.009689006,0.2209561,-0.13843776
10.4831,6.121476,29.6897,2.4725,7.399555,0.5,7.9444,1.2626,0.032383233,0.009245967,0.73874116,-0.26471397
9.3408,6.500663,27.7824,1.6516,7.849621,0.5,8.8318,-3.6486,0.021731796,0.009858256,0.482121,-0.14521685
8.2036,6.4656386,26.3226,1.5507,7.67308,0.5,5.3138,-5.0501,0.015924033,0.010124525,0.27867538,-0.07071217
7.8471,6.2294593,25.8957,3.4157,7.674665,0.5,3.6288,-6.1363,0.019732758,0.0100335535,0.40748388,-0.05158737
10.7867,6.1281233,32.2285,0.5384,6.776773,0.5,6.5579,-3.4767,0.013813476,0.010029322,0.21343763,-0.0826216
9.8823,6.4173403,31.0229,0.1408,7.721716,0.5,3.5089,-8.3406,0.013141917,0.009715336,-0.013903473,0.009770264
10.8301,6.450226,33.9811,3.4588,7.52471,0.5,4.8019,-2.3179,0.022897536,0.009682256,0.56212276,-0.22919431
9.7373,6.172426,30.1541,3.0406,7.515909,0.5,5.5081,-6.8511,0.018212177,0.009739768,0.38707122,-0.086045295
7.9167,6.536982,34.1071,0.4205,8.792076,0.5,6.964,-6.4369,0.014197987,0.009622151,0.18244731,-0.07166523
7.781,6.517663,33.4296,2.0659,8.556765,0.5,7.7537,-3.5091,0.02413233,0.009730071,0.508692,-0.1699661
8.017,6.43572,33.6009,3.0111,7.514648,0.5,4.1073,-2.3378,0.020894146,0.010214497,0.44710612,-0.09911157
7.9684,6.205583,31.6844,0.0293,8.872988,0.5,7.4941,-1.7571,0.016238745,0.009405307,0.3182457,-0.1406547
10.1915,6.546652,30.7,0.7555,8.011257,0.5,3.2415,-2.6388,0.012742028,0.009670612,0.15936916,-0.09523957
9.4085,6.2982197,27.2264,2.7865,7.529599,0.5,5.6945,-7.0295,0.017906424,0.009868845,0.360928,-0.06989943
9.981,6.4779067,28.7674,0.6896,7.465099,0.5,5.1544,-5.1886,0.014777942,0.009954918,0.23991296,-0.087069236
7.8949,6.364656,30.8753,2.8354,7.592944,0.5,7.6673,-5.8236,0.02222783,0.010145922,0.46539974,-0.06346456
9.3366,6.27683,32.0012,3.607,7.821717,0.5,6.2857,-1.7584,0.030330863,0.009512481,0.6842205,-0.22594929
8.245,6.199713,27.3976,2.4008,8.930576,0.5,5.1796,-4.6669,0.019562958,0.009276637,0.4171404,-0.117983714
9.5051,6.418928,30.1992,2.2974,7.012435,0.5,8.0262,-0.9071,0.024947524,0.010204745,0.5849849,-0.1436988
8.994,6.154814,35.8283,1.416,7.394463,0.5,3.7467,-6.5096,0.012805854,0.00990299,0.11202761,-0.027079972
7.8757,6.52415,25.7573,0.4171,8.998009,0.5,7.9747,-1.6837,0.0190244,0.009569046,0.38909012,-0.13688466
7.7571,6.471577,28.4295,0.165,8.655642,0.5,4.9179,-1.989,0.013986257,0.009675101,0.21496873,-0.10664566
10.7472,6.4700785,28.1987,3.2952,6.980619,0.5,7.3447,-5.7542,0.021662798,0.010080321,0.50336903,-0.10310593
9.052,6.328169,35.0454,3.3447,8.300799,0.5,6.9209,-0.6546,0.02835901,0.009403513,0.6375233,-0.25213107
10.2038,6.1897287,30.5223,1.0442,7.515448,0.5,4.1216,-5.9633,0.012541224,0.009677138,0.10044493,-0.035575774
10.0711,6.282322,25.999,0.4633,7.88222,0.5,7.6378,-3.4642,0.02025988,0.009634227,0.45485026,-0.15220854
8.1436,6.4549146,33.8254,0.712,7.838814,0.5,4.6538,-2.959,0.013526675,0.010018245,0.17972094,-0.09037875
8.9594,6.1107297,31.8788,2.2788,8.032096,0.5,5.0011,-5.4896,0.018776044,0.009539219,0.4062412,-0.12498496
9.5929,6.2190046,25.1979,0.3417,7.0592,0.5,3.4447,-7.9812,0.0133763775,0.01001526,-0.037787516,-0.00024935437
7.6456,6.4451256,36.0116,1.7913,8.308359,0.5,5.8211,-5.6107,0.015383222,0.009840722,0.26180145,-0.08517104
10.4964,6.272398,28.1393,0.3801,6.954291,0.5,7.0436,-3.4392,0.01783163,0.0100786,0.38616702,-0.12711768
7.5314,6.3746886,33.1551,3.1562,8.042759,0.5,8.4481,-1.3259,0.027242592,0.009910952,0.576544,-0.15340705
10.3103,6.300272,27.72,1.2519,7.109104,0.5,8.2593,2.5714,0.02821732,0.009870153,0.67248863,-0.24262626
8.9482,6.1049204,27.5794,3.5307,7.580357,0.5,5.206,-0.3544,0.028142588,0.00967719,0.6424597,-0.17305835
10.2511,6.097679,34.4433,3.7011,6.99378,0.5,8.1818,1.441,0.035950236,0.009218268,0.7560859,-0.24300572
8.7976,6.166752,28.822,1.5248,7.730349,0.5,5.974,-2.2213,0.018128926,0.009775473,0.3937788,-0.13182387
10.2863,6.4676094,34.9413,3.3036,6.823307,0.5,6.8737,-2.8435,0.023447955,0.010206619,0.56485313,-0.14886703
7.6875,6.2891593,28.0551,0.0643,8.415035,0.5,3.4648,-6.5616,0.012607562,0.009653159,0.056969255,-0.042261876
10.8207,6.4102716,31.454,2.7256,7.348912,0.5,7.4643,0.509,0.030313224,0.009523162,0.7146032,-0.279439
10.4578,6.3440895,37.228,1.3625,7.563303,0.5,7.4104,-4.4953,0.017994374,0.009738828,0.3964193,-0.1625467
10.3562,6.1511307,35.4136,3.0879,7.51702,0.5,8.061,-2.2535,0.025036229,0.009553491,0.60562575,-0.23389702
9.1305,6.4601316,37.311,1.913,7.96537,0.5,3.5831,-5.6153,0.013590937,0.009775338,0.19907896,-0.07592295
9.6312,6.1891646,30.9668,3.7458,7.75857,0.5,5.7231,-5.4176,0.024210412,0.009577579,0.560198,-0.15363131
10.7245,6.099543,32.2793,3.9438,7.397584,0.5,3.0108,-8.0786,0.0167887,0.009642023,0.35251722,-0.07444288
8.6799,6.395687,35.1787,3.1758,7.717447,0.5,5.7923,-3.986,0.02415082,0.009886812,0.540996,-0.16391368
8.1629,6.1598377,26.7455,0.2845,8.844724,0.5,3.866,-4.6801,0.012453856,0.009304203,0.1357902,-0.06703401
8.0796,6.2543917,26.5226,2.3966,8.656242,0.5,6.3166,-6.5325,0.017476933,0.009472989,0.33379853,-0.08088725
8.5104,6.2518086,25.6154,0.5184,7.328793,0.5,3.5301,-5.1505,0.014042937,0.010134954,0.17774388,-0.05806529
10.4171,6.548834,26.799,1.7089,7.562997,0.5,6.1111,-3.9288,0.018328467,0.009872321,0.40754023,-0.13059522
9.7562,6.113231,33.3907,1.6474,7.664306,0.5,7.4065,-2.7096,0.017573936,0.009633397,0.39239132,-0.15187411
10.824,6.3204193,29.7824,3.8165,6.759567,0.5,6.9353,-4.8227,0.023942381,0.010075609,0.58276784,-0.11447643
10.3875,6.336043,28.7658,3.1457,7.687822,0.5,5.3294,-5.6211,0.021508368,0.009637663,0.5013943,-0.13908803
7.611,6.212634,35.8366,0.6904,7.938068,0.5,8.4008,-0.5029,0.021297207,0.009935305,0.45143998,-0.163382
10.5027,6.3270206,32.1531,0.46,6.679977,0.5,8.8848,0.4326,0.019285418,0.010282001,0.45026296,-0.1649974
8.2134,6.1031833,34.4584,2.6934,7.541572,0.5,5.675,-0.8832,0.02469713,0.0098830005,0.5501683,-0.15084662
9.9322,6.5395856,35.6817,1.1426,6.991853,0.5,6.5159,-2.0537,0.017779283,0.010277494,0.38550928,-0.15056443
8.1418,6.4209194,28.7923,0.9525,7.457536,0.5,4.2146,-4.8036,0.013426972,0.010232853,0.14164878,-0.049996886
7.5159,6.223508,27.6913,1.0687,8.522113,0.5,8.9534,1.4322,0.03347395,0.009563173,0.67384726,-0.20661378
7.6373,6.146259,36.9267,2.5297,8.077371,0.5,6.5537,-0.9508,0.02530711,0.009715379,0.5445557,-0.18549064
7.686,6.114519,31.3091,2.5141,8.742569,0.5,7.1569,-1.3661,0.03007448,0.009344191,0.62733495,-0.19967012
7.5723,6.1765003,32.1711,2.9706,7.981183,0.5,3.4619,-5.2478,0.014897473,0.009872104,0.25522226,-0.05842586
7.5499,6.386332,33.225,3.5037,9.140811,0.5,3.874,-6.2791,0.015029361,0.009420417,0.26244608,-0.07108237
10.0509,6.1395254,27.637,0.9892,6.783851,0.5,3.1871,-10.0826,0.014318229,0.010026791,-0.08380904,0.046576336
9.8671,6.1520147,37.1885,2.2878,8.059944,0.5,6.5991,-4.0355,0.017180877,0.009425783,0.37922582,-0.15431921
10.4654,6.2759385,29.5031,2.7198,7.127539,0.5,4.5596,-4.3024,0.017111223,0.0099398885,0.3782507,-0.10878055
8.8303,6.19727,35.2539,2.3251,7.339474,0.5,7.2784,0.6554,0.028514486,0.009900693,0.64221925,-0.20636873
10.6317,6.220854,36.2853,1.0865,7.497552,0.5,5.2254,-2.8939,0.014371244,0.009669712,0.27388206,-0.13994345
9.8454,6.4691133,34.5945,2.3102,7.253616,0.5,8.5156,-0.586,0.023208335,0.01002454,0.5489375,-0.20698225
8.4816,6.4111,31.9842,3.3241,8.100075,0.5,3.9476,-6.1748,0.018446622,0.009774477,0.38366044,-0.10061497
8.2099,6.2585497,34.288,2.1029,7.931448,0.5,4.4586,-4.9,0.013467168,0.009817536,0.19000602,-0.06254172
8.5985,6.180663,35.2283,3.0149,8.433847,0.5,6.4809,-0.9015,0.021912653,0.009400969,0.49552992,-0.19841501
10.485,6.394633,30.5353,1.5811,7.257732,0.5,3.3143,-4.1084,0.013616207,0.00994735,0.20729244,-0.08499667
10.3667,6.500815,36.582,3.13,7.389516,0.5,3.667,-1.3446,0.019098187,0.0099093495,0.4459203,-0.20939803
